,ad_event_id,user_id,state,os,browser,id,gender,age,keyword_id,ad_id,cpc_bid_amount,bidding_strategy_type,quality_score,keyword_match_type,ad_group_id,name,amount,device_type
0,e3e70682-c209-4cac-a29f-6fbed82c07cd,624aadae-ebbc-41f6-9edf-f24b3567c813,Minnesota,Windows,Safari,978a42fc-8b17-4998-983e-c1e515fc5f40,Male,60,d0b15290-64a1-4c76-a994-b61bf09baebe,954e1d4b-3c1b-4a78-800c-3b336d71d69b,2533.27,Manual,9.47,Broad,ccbbeccf-b0f6-4276-85dd-034e313311b9,Tammy Adams,208.61,Mobile
1,f728b4fa-4248-4e3a-8a5d-2f346baa9455,cbae0e93-2f39-4045-91bb-91c132620328,North Carolina,Windows,Chrome,db7c2739-4a2b-433a-9ba6-30a8b5a2466e,Male,64,a81feb67-acc8-4981-a51c-115f271f08e7,a54255f3-060c-462e-86b3-68f8bd922f27,2273.86,Automated,8.18,Phrase,9e7f4775-5652-46eb-9037-7e1245237c7f,Jose Rogers,920.85,Mobile
2,eb1167b3-67a9-4378-bc65-c1e582e2e662,26b18865-a878-4876-bf0d-f2ca2dc6c2ac,Wisconsin,Linux,Firefox,ff2abd86-faa5-47d4-be68-155c8594fc23,Female,71,3075506d-232c-4f27-a722-23bb4de9ddda,e0c81e5d-60ba-482c-a67f-806ac21e9446,1261.71,Automated,7.79,Exact,d90e1cbd-1167-43f5-9fa6-9abedfe880c0,Thomas Reyes,196.81,Mobile
3,f7c1bd87-4da5-4709-9471-3d60c8a70639,685e406b-8171-41eb-9766-c1439c9afcff,Iowa,Linux,Firefox,7915cd51-eded-413b-b43f-355f2a9df500,Female,30,31d19cf1-d71a-4279-99a7-85ed264fa1b5,567eeb28-a19e-4635-a4f6-c55ff9fb5f99,776.75,Automated,7.47,Exact,014de060-ab94-4665-b3b4-aa33f3247312,Joseph Fields,184.47,Desktop
4,e443df78-9558-467f-9ba9-1faf7a024204,e919b5aa-f0c9-4bea-a0a1-f43f9638a3c7,Maryland,Linux,Safari,3ef1b23b-e15e-487a-bb1a-b1d26a2edd95,Female,43,d82ba5f7-f499-41be-9f41-e692662a908f,353b6585-13f1-4423-bf26-9f911d911daf,1533.82,Automated,1.88,Broad,b9b2cdf5-3371-4046-940c-06deda6667e6,Joshua Parker,178.81,Desktop
5,23a7711a-8133-4876-b7eb-dcd9e87a1613,00b425aa-e7eb-433c-ba08-79fbdc7843b3,Oregon,Mac OS X,Firefox,4559baa3-eb0c-4582-860c-29b65fb7d803,Female,34,03b5bf09-8654-4444-893a-da90babc888d,6fd38cda-c09b-4d2b-b4a2-fe965dd62ff8,1214.8,Automated,5.49,Phrase,01142920-5aaf-4479-8d23-135192f6cac8,Kelsey Smith,658.09,Mobile
6,1846d424-c17c-4279-a3c6-612f48268673,9abf3e69-e5bc-47ed-afa6-80100ddd49b7,Alaska,Linux,Firefox,c0eea397-d4a6-4349-96fd-cfe2e199bcfd,Female,79,462fe711-1b69-422e-827b-24fdd453715c,2def0dac-a511-41cc-afd3-cd8c22e6ba9e,2351.4,Manual,4.24,Exact,7d18cd7a-a45d-4f73-928b-dddb6f0b0ffc,William Parker,611.74,Mobile
7,fcbd04c3-4021-4ef7-8ca5-a5a19e4d6e3c,a5f3aa63-a5cb-4d9f-a579-49170806989a,New York,Mac OS X,Chrome,379c05da-425f-4a71-acbd-b877544f06dd,Female,88,49b0ef3a-a4b4-4b9f-a898-60327953b208,0dbfa617-7b55-4cb4-948e-33391debb448,909.94,Automated,9.5,Exact,fbb44b27-14b9-491c-a497-44833481e605,Marc Ramsey,505.63,Desktop
8,b4862b21-fb97-4435-8856-1712e8e5216a,15d0db43-80a1-4176-a2b3-4047ee4b0498,Vermont,Windows,Safari,62f8d20a-c78a-466d-8a9b-fc00192edd37,Female,75,a59a154d-24bf-42d7-a8ea-c9063d05e7c4,17d7d292-7cf0-485f-9284-fc455496e9ed,1429.79,Automated,1.74,Exact,8f6eac32-a7b2-4ba0-9272-701a2f913ef8,Eric Pearson,586.8,Desktop
9,259f4329-e6f4-490b-9a16-4106cf6a659e,a20847d8-54ed-4b3b-8f70-70e66b58996c,Florida,Windows,Safari,bb0250b3-7705-4fa8-96be-7bee667c4de7,Female,56,0aeb94f4-d0a4-4287-bc20-dd68a8dd31df,8e12d681-67c2-4431-bec6-2869e4fefb2c,1750.15,Manual,1.7,Broad,234bf373-a9c8-4157-84c6-2558b6ad5ce7,George Castaneda,940.58,Mobile
